To	O	O	O	O	O	O	O	O
perform	O	O	O	O	O	O	O	O
simulations	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O
various	O	O	O	O	O	O	O	O
modes	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O
action	O	O	O	O	O	O	O	O
potential	O	O	O	O	O	O	O	O
generation	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O
thalamic	O	O	O	O	O	B-Neuron	O	O
relay	O	O	O	O	O	I-Neuron	O	O
neurons	O	O	O	O	O	I-Neuron	O	O
,	O	O	O	O	O	O	O	O
we	O	O	O	O	O	O	O	O
developed	O	O	O	O	O	O	O	O
Hodgkin-and-Huxley	O	O	O	O	O	O	O	O
style	O	O	O	O	O	O	O	O
mathematical	O	O	O	O	O	O	O	O
equations	O	O	O	O	O	O	O	O
that	O	O	O	O	O	O	O	O
describe	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O
voltage	O	O	O	O	O	O	O	O
dependence	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O
kinetics	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O
activation	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O
inactivation	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O
four	O	O	O	O	O	O	O	O
different	O	O	O	O	O	O	O	O
currents	O	O	O	B-IonicCurrent	O	O	O	O
,	O	O	O	O	O	O	O	O
including	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O
transient	O	O	O	B-IonicCurrent	O	O	O	O
,	O	O	O	I-IonicCurrent	O	O	O	O
low	O	O	O	I-IonicCurrent	O	O	O	O
-	O	O	O	I-IonicCurrent	O	O	O	O
voltage	O	O	O	I-IonicCurrent	O	O	O	O
-	O	O	O	I-IonicCurrent	O	O	O	O
activated	O	O	O	I-IonicCurrent	O	O	O	O
Ca2+	O	O	O	I-IonicCurrent	O	O	O	O
current	O	O	O	I-IonicCurrent	O	O	O	O
(	O	O	O	I-IonicCurrent	O	O	O	O
IT	O	O	O	I-IonicCurrent	O	O	O	O
)	O	O	O	I-IonicCurrent	O	O	O	O
,	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O
rapidly	O	O	O	B-IonicCurrent	O	O	O	O
inactivating	O	O	O	I-IonicCurrent	O	O	O	O
transient	O	O	O	I-IonicCurrent	O	O	O	O
K+	O	O	O	I-IonicCurrent	O	O	O	O
current	O	O	O	I-IonicCurrent	O	O	O	O
(	O	O	O	I-IonicCurrent	O	O	O	O
IA	O	O	O	I-IonicCurrent	O	O	O	O
)	O	O	O	I-IonicCurrent	O	O	O	O
,	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O
slowly	O	O	O	B-IonicCurrent	O	O	O	O
inactivating	O	O	O	I-IonicCurrent	O	O	O	O
K+	O	O	O	I-IonicCurrent	O	O	O	O
current	O	O	O	I-IonicCurrent	O	O	O	O
(	O	O	O	I-IonicCurrent	O	O	O	O
IK2	O	O	O	I-IonicCurrent	O	O	O	O
)	O	O	O	I-IonicCurrent	O	O	O	O
,	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O
hyperpolarization	O	O	O	B-IonicCurrent	O	O	O	O
-	O	O	O	I-IonicCurrent	O	O	O	O
activated	O	O	O	I-IonicCurrent	O	O	O	O
,	O	O	O	I-IonicCurrent	O	O	O	O
mixed	O	O	O	I-IonicCurrent	O	O	O	O
cationic	O	O	O	I-IonicCurrent	O	O	O	O
current	O	O	O	I-IonicCurrent	O	O	O	O
(	O	O	O	I-IonicCurrent	O	O	O	O
Ih	O	O	O	I-IonicCurrent	O	O	O	O
)	O	O	O	I-IonicCurrent	O	O	O	O
.	O	O	O	O	O	O	O	O

Abstract	O	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O	O
The	O	O	O	O	O	O	O	O
maturation	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O
calcium	O	O	O	O	O	O	O	O
binding	O	O	O	O	O	O	O	O
proteins	O	O	O	O	O	O	O	O
calbindin	O	O	O	O	O	O	O	O
-D28k	O	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O	O
CB	O	O	O	O	O	O	O	O
)	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O
parvalbumin	O	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O	O
PV	O	O	O	O	O	O	O	O
)	O	O	O	O	O	O	O	O
during	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O
first	O	O	O	O	O	O	O	O
3	O	O	O	O	O	O	O	O
postnatal	O	O	O	O	O	O	O	O
weeks	O	O	O	O	O	O	O	O
