Abstract	O	O	O	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O	O	O	O
The	O	O	O	O	O	O	O	O	O	O
thalamocortical	O	O	O	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O	O	O	O
TC	O	O	O	O	O	O	O	O	O	O
)	O	O	O	O	O	O	O	O	O	O
projection	O	O	O	O	O	O	O	O	O	O
to	O	O	O	O	O	O	O	O	O	O
layer	O	O	O	O	O	O	B-BrainRegion	O	O	O
4	O	O	O	O	O	O	I-BrainRegion	O	O	O
(	O	O	O	O	O	O	O	O	O	O
L4	O	O	O	O	O	O	B-BrainRegion	O	O	O
)	O	O	O	O	O	O	O	O	O	O
is	O	O	O	O	O	O	O	O	O	O
thought	O	O	O	O	O	O	O	O	O	O
to	O	O	O	O	O	O	O	O	O	O
be	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O
main	O	O	O	O	O	O	O	O	O	O
route	O	O	O	O	O	O	O	O	O	O
by	O	O	O	O	O	O	O	O	O	O
which	O	O	O	O	O	O	O	O	O	O
sensory	O	O	O	O	O	O	O	O	O	O
organs	O	O	O	O	O	O	O	O	O	O
communicate	O	O	O	O	O	O	O	O	O	O
with	O	O	O	O	O	O	O	O	O	O
cortex	O	O	O	O	O	O	B-BrainRegion	O	O	O
.	O	O	O	O	O	O	O	O	O	O

To	O	O	O	O	O	O	O	O	O	O
determine	O	O	O	O	O	O	O	O	O	O
whether	O	O	O	O	O	O	O	O	O	O
this	O	O	O	O	O	O	O	O	O	O
possibility	O	O	O	O	O	O	O	O	O	O
could	O	O	O	O	O	O	O	O	O	O
extend	O	O	O	O	O	O	O	O	O	O
across	O	O	O	O	O	O	O	O	O	O
sensory	O	O	O	O	O	O	O	O	O	O
modalities	O	O	O	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O
present	O	O	O	O	O	O	O	O	O	O
study	O	O	O	O	O	O	O	O	O	O
examined	O	O	O	O	O	O	O	O	O	O
activities	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O
TRN	O	O	O	O	O	B-Neuron	B-BrainRegion	O	O	O
auditory	O	O	O	O	O	I-Neuron	O	O	O	O
cells	O	O	O	O	O	I-Neuron	O	O	O	O
projecting	O	O	O	O	O	O	O	O	O	O
to	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O
ventral	O	O	O	O	O	O	B-BrainRegion	O	O	O
and	O	O	O	O	O	O	O	O	O	O
dorsal	O	O	O	O	O	O	B-BrainRegion	O	O	O
divisions	O	O	O	O	O	O	I-BrainRegion	O	O	O
(	O	O	O	O	O	O	O	O	O	O
first	O	O	O	O	O	O	B-BrainRegion	O	O	O
-	O	O	O	O	O	O	I-BrainRegion	O	O	O
and	O	O	O	O	O	O	O	O	O	O
higher	O	O	O	O	O	O	B-BrainRegion	O	O	O
-	O	O	O	O	O	O	I-BrainRegion	O	O	O
order	O	O	O	O	O	O	I-BrainRegion	O	O	O
auditory	O	O	O	O	O	O	I-BrainRegion	O	O	O
thalamic	O	O	O	O	O	O	I-BrainRegion	O	O	O
nuclei	O	O	O	O	O	O	I-BrainRegion	O	O	O
)	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O
medial	O	O	O	O	O	O	B-BrainRegion	O	O	O
geniculate	O	O	O	O	O	O	I-BrainRegion	O	O	O
nucleus	O	O	O	O	O	O	I-BrainRegion	O	O	O
(	O	O	O	O	O	O	O	O	O	O
TRN-MGV	O	O	O	O	O	B-Neuron	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O
TRN-MGD	O	O	O	O	O	B-Neuron	O	O	O	O
cells	O	O	O	O	O	I-Neuron	O	O	O	O
)	O	O	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O
anesthetized	O	O	O	O	O	O	O	O	O	O
rats	O	O	O	O	B-ModelOrganism	O	O	O	O	O
,	O	O	O	O	O	O	O	O	O	O
using	O	O	O	O	O	O	O	O	O	O
juxta	O	O	O	O	O	O	O	O	O	O
-	O	O	O	O	O	O	O	O	O	O
cellular	O	O	O	O	O	O	O	O	O	O
recording	O	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O
labeling	O	O	O	O	O	O	O	O	O	O
techniques	O	O	O	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O	O	O	O

Abstract	O	O	O	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O	O	O	O
The	O	O	O	O	O	O	O	O	O	O
maturation	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O
calcium	O	O	O	O	O	O	O	O	O	O
binding	O	O	O	O	O	O	O	O	O	O
proteins	O	O	O	O	O	O	O	O	O	O
calbindin	O	O	O	O	O	O	O	O	O	O
-D28k	O	O	O	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O	O	O	O
CB	O	O	O	O	O	O	O	O	O	O
)	O	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O
parvalbumin	O	O	O	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O	O	O	O
PV	O	O	O	O	O	O	O	O	O	O
)	O	O	O	O	O	O	O	O	O	O
during	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O
first	O	O	O	O	O	O	O	O	O	O
3	O	O	O	O	O	O	O	O	O	O
postnatal	O	O	O	O	O	O	O	O	O	O
weeks	O	O	O	O	O	O	O	O	O	O
was	O	O	O	O	O	O	O	O	O	O
studied	O	O	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O
rat	O	O	O	O	B-ModelOrganism	O	O	O	O	O
thalamus	O	O	O	O	O	O	B-BrainRegion	O	O	O
using	O	O	O	O	O	O	O	O	O	O
immunohistochemistry	O	O	O	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O	O	O	O

In	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O
thalamus	O	O	O	O	O	O	B-BrainRegion	O	O	O
,	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O
prominent	O	O	O	O	O	O	O	O	O	O
hyperpolarization	O	O	O	B-IonicCurrent	O	O	O	O	O	O
-	O	O	O	I-IonicCurrent	O	O	O	O	O	O
activated	O	O	O	I-IonicCurrent	O	O	O	O	O	O
cation	O	O	O	I-IonicCurrent	O	O	O	O	O	O
conductance	O	O	O	I-IonicCurrent	O	O	O	O	O	O
exists	O	O	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O
thalamocortical	O	O	O	O	O	B-Neuron	O	O	O	O
cells	O	O	O	O	O	I-Neuron	O	O	O	O
,	O	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O
this	O	O	O	O	O	O	O	O	O	O
current	O	O	O	O	O	O	O	O	O	O
is	O	O	O	O	O	O	O	O	O	O
implicated	O	O	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O
neuromodulation	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O
complex	O	O	O	O	O	O	O	O	O	O
firing	O	O	O	O	O	O	O	O	O	O
behaviors	O	O	O	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O	O	O	O

The	O	O	O	O	O	O	O	O	O	O
activity	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O
thalamocortical	O	O	O	O	O	B-Neuron	O	O	O	O
relay	O	O	O	O	O	I-Neuron	O	O	O	O
(	O	O	O	O	O	O	O	O	O	O
TC	O	O	O	O	O	B-Neuron	O	O	O	O
)	O	O	O	O	O	O	O	O	O	O
cells	O	O	O	O	O	O	O	O	O	O
is	O	O	O	O	O	O	O	O	O	O
modulated	O	O	O	O	O	O	O	O	O	O
by	O	O	O	O	O	O	O	O	O	O
specific	O	O	O	O	O	O	O	O	O	O
inhibitory	O	O	O	O	O	O	O	O	O	O
circuits	O	O	O	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O	O	O	O

Most	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O
these	O	O	O	O	O	O	O	O	O	O
assumptions	O	O	O	O	O	O	O	O	O	O
have	O	O	O	O	O	O	O	O	O	O
been	O	O	O	O	O	O	O	O	O	O
validated	O	O	O	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O
modern	O	O	O	O	O	O	O	O	O	O
view	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O
EEG	O	O	O	O	O	O	O	O	O	O
genesis	O	O	O	O	O	O	O	O	O	O
is	O	O	O	O	O	O	O	O	O	O
largely	O	O	O	O	O	O	O	O	O	O
based	O	O	O	O	O	O	O	O	O	O
on	O	O	O	O	O	O	O	O	O	O
these	O	O	O	O	O	O	O	O	O	O
principles	O	O	O	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O	O	O	O
see	O	O	O	O	O	O	O	O	O	O
below	O	O	O	O	O	O	O	O	O	O
)	O	O	O	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O	O	O	O

We	O	O	O	O	O	O	O	O	O	O
found	O	O	O	O	O	O	O	O	O	O
no	O	O	O	O	O	O	O	O	O	O
differences	O	O	O	O	O	O	O	O	O	O
between	O	O	O	O	O	O	O	O	O	O
CaV3.1+	O	O	O	O	B-ModelOrganism	O	O	O	O	O
/	O	O	O	O	I-ModelOrganism	O	O	O	O	O
+	O	O	O	O	I-ModelOrganism	O	O	O	O	O
(	O	O	O	O	O	O	O	O	O	O
n	O	O	O	O	O	O	O	O	O	O
=	O	O	O	O	O	O	O	O	O	O
12	O	O	O	O	O	O	O	O	O	O
)	O	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O
CaV3.1−	O	O	O	O	B-ModelOrganism	O	O	O	O	O
/	O	O	O	O	I-ModelOrganism	O	O	O	O	O
−	O	O	O	O	I-ModelOrganism	O	O	O	O	O
(	O	O	O	O	O	O	O	O	O	O
n	O	O	O	O	O	O	O	O	O	O
=	O	O	O	O	O	O	O	O	O	O
14	O	O	O	O	O	O	O	O	O	O
)	O	O	O	O	O	O	O	O	O	O
TC	O	O	O	O	O	B-Neuron	O	O	O	O
neurons	O	O	O	O	O	I-Neuron	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O
membrane	O	O	O	O	O	O	O	O	O	O
capacitance	O	O	O	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O	O	O	O
141.2	O	O	B-Value	O	O	O	O	O	O	O
±	O	O	I-Value	O	O	O	O	O	O	O
15.6	O	O	I-Value	O	O	O	O	O	O	O
pF	O	B-Unit	I-Value	O	O	O	O	O	O	O
vs	O	O	O	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O	O	O	O
137.4	O	O	B-Value	O	O	O	O	O	O	O
±10.5	O	O	I-Value	O	O	O	O	O	O	O
pF	O	B-Unit	I-Value	O	O	O	O	O	O	O
)	O	O	O	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O	O	O	O
resting	O	O	O	O	O	O	O	O	O	O
membrane	O	O	O	O	O	O	O	O	O	O
potential	O	O	O	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O	O	O	O
−59.11	O	O	B-Value	O	O	O	O	O	O	O
±	O	O	I-Value	O	O	O	O	O	O	O
5.34	O	O	I-Value	O	O	O	O	O	O	O
mV	O	B-Unit	I-Value	O	O	O	O	O	O	O
vs	O	O	O	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O	O	O	O
−57.54	O	O	B-Value	O	O	O	O	O	O	O
±	O	O	I-Value	O	O	O	O	O	O	O
6.31	O	O	I-Value	O	O	O	O	O	O	O
mV	O	B-Unit	I-Value	O	O	O	O	O	O	O
)	O	O	O	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O	O	O	O
or	O	O	O	O	O	O	O	O	O	O
membrane	O	O	O	O	O	O	O	O	O	O
resistance	O	O	O	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O	O	O	O
219.5	O	O	B-Value	O	O	O	O	O	O	O
±	O	O	I-Value	O	O	O	O	O	O	O
48.2	O	O	I-Value	O	O	O	O	O	O	O
MΩ	O	B-Unit	I-Value	O	O	O	O	O	O	O
vs	O	O	O	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O	O	O	O
175.4	O	O	B-Value	O	O	O	O	O	O	O
±	O	O	I-Value	O	O	O	O	O	O	O
38.2	O	O	I-Value	O	O	O	O	O	O	O
MΩ	O	B-Unit	I-Value	O	O	O	O	O	O	O
)	O	O	O	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O	O	O	O

Analysis	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O
IKCa	O	O	O	B-IonicCurrent	O	O	O	O	O	O
-	O	O	O	O	O	O	O	O	O	O
mediated	O	O	O	O	O	O	O	O	O	O
effects	O	O	O	O	O	O	O	O	O	O
on	O	O	O	O	O	O	O	O	O	O
burst	O	O	O	O	O	O	O	O	O	O
firing	O	O	O	O	O	O	O	O	O	O
behaviour	O	O	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O
TC	O	O	O	O	O	B-Neuron	O	O	O	O
neurons	O	O	O	O	O	I-Neuron	O	O	O	O
To	O	O	O	O	O	O	O	O	O	O
analyse	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O
influence	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O
IKCa	O	O	O	B-IonicCurrent	O	O	O	O	O	O
on	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O
burst	O	O	O	O	O	O	O	O	O	O
firing	O	O	O	O	O	O	O	O	O	O
mode	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O
TC	O	O	O	O	O	B-Neuron	O	O	O	O
neurons	O	O	O	O	O	I-Neuron	O	O	O	O
,	O	O	O	O	O	O	O	O	O	O
we	O	O	O	O	O	O	O	O	O	O
performed	O	O	O	O	O	O	O	O	O	O
whole	O	O	O	O	O	O	O	O	O	O
-	O	O	O	O	O	O	O	O	O	O
cell	O	O	O	O	O	O	O	O	O	O
current	O	O	O	O	O	O	O	O	O	O
-	O	O	O	O	O	O	O	O	O	O
clamp	O	O	O	O	O	O	O	O	O	O
recordings	O	O	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O
acute	O	O	O	O	O	O	O	O	O	O
brain	O	O	O	O	O	O	O	O	O	O
slices	O	O	O	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O	O	O	O

Structures	O	O	O	O	O	O	O	O	O	O
within	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O
cortical	O	O	O	O	O	O	O	O	O	O
-	O	O	O	O	O	O	O	O	O	O
thalamocortical	O	O	O	O	O	O	O	O	O	O
system	O	O	O	O	O	O	O	O	O	O
are	O	O	O	O	O	O	O	O	O	O
critically	O	O	O	O	O	O	O	O	O	O
involved	O	O	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O
generation	O	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O
maintenance	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O
the	O	O	O	O	O	O	O	O	O	O
electrographic	O	O	O	O	O	O	O	O	O	O
spike	O	O	O	O	O	O	O	O	O	O
-	O	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O
-	O	O	O	O	O	O	O	O	O	O
wave	O	O	O	O	O	O	O	O	O	O
discharges	O	O	O	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O	O	O	O
SWDs	O	O	O	O	O	O	O	O	O	O
)	O	O	O	O	O	O	O	O	O	O
that	O	O	O	O	O	O	O	O	O	O
characterize	O	O	O	O	O	O	O	O	O	O
absence	O	O	O	O	O	O	O	O	O	O
seizures	O	O	O	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O	O	O	O

Title	O	O	O	O	O	O	O	O	O	O
:	O	O	O	O	O	O	O	O	O	O
Alterations	O	O	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O
GABA	O	O	O	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O	O	O	O
A	O	O	O	O	O	O	O	O	O	O
)	O	O	O	O	O	O	O	O	O	O
receptor	O	O	O	O	O	O	O	O	O	O
mediated	O	O	O	O	O	O	O	O	O	O
inhibition	O	O	O	O	O	O	O	O	O	O
in	O	O	O	O	O	O	O	O	O	O
adjacent	O	O	O	O	O	O	O	O	O	O
dorsal	O	O	O	O	O	O	B-BrainRegion	O	O	O
midline	O	O	O	O	O	O	I-BrainRegion	O	O	O
thalamic	O	O	O	O	O	O	I-BrainRegion	O	O	O
nuclei	O	O	O	O	O	O	I-BrainRegion	O	O	O
in	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O
rat	O	O	O	O	B-ModelOrganism	O	O	O	O	O
model	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O
chronic	O	O	O	O	O	O	O	O	O	O
limbic	O	O	O	O	O	O	O	O	O	O
epilepsy	O	O	O	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O	O	O	O

The	O	O	O	O	O	O	O	O	O	O
model	O	O	O	O	O	O	O	O	O	O
includes	O	O	O	O	O	O	O	O	O	O
two	O	O	O	O	O	O	O	O	O	O
thalamic	O	O	O	O	O	O	O	O	O	O
populations	O	O	O	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O
thalamo	O	O	O	O	O	B-Neuron	O	O	O	O
-	O	O	O	O	O	I-Neuron	O	O	O	O
cortical	O	O	O	O	O	I-Neuron	O	O	O	O
relay	O	O	O	O	O	I-Neuron	O	O	O	O
cell	O	O	O	O	O	I-Neuron	O	O	O	O
population	O	O	O	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O	O	O	O
TCR	O	O	O	O	O	B-Neuron	O	O	O	O
,	O	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O
its	O	O	O	O	O	O	O	O	O	O
related	O	O	O	O	O	O	O	O	O	O
thalamic	O	O	O	O	O	O	B-BrainRegion	O	O	O
reticular	O	O	O	O	O	O	I-BrainRegion	O	O	O
nucleus	O	O	O	O	O	O	I-BrainRegion	O	O	O
,	O	O	O	O	O	O	O	O	O	O
TRN	O	O	O	O	O	O	B-BrainRegion	O	O	O
)	O	O	O	O	O	O	O	O	O	O
,	O	O	O	O	O	O	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O
a	O	O	O	O	O	O	O	O	O	O
cortical	O	O	O	O	O	O	B-BrainRegion	O	O	O
column	O	O	O	O	O	O	I-BrainRegion	O	O	O
consisting	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O
four	O	O	O	O	O	O	O	O	O	O
connected	O	O	O	O	O	O	O	O	O	O
populations	O	O	O	O	O	O	O	O	O	O
(	O	O	O	O	O	O	O	O	O	O
pyramidal	O	O	O	O	O	B-Neuron	O	O	O	O
neurons	O	O	O	O	O	I-Neuron	O	O	O	O
,	O	O	O	O	O	O	O	O	O	O
excitatory	O	O	O	O	O	B-Neuron	O	O	O	O
interneurons	O	O	O	O	O	I-Neuron	O	O	O	O
,	O	O	O	O	O	O	O	O	O	O
inhibitory	O	O	O	O	O	B-Neuron	O	O	O	O
interneurons	O	O	O	O	O	I-Neuron	O	O	O	O
with	O	O	O	O	O	I-Neuron	O	O	O	O
slow	O	O	O	O	O	I-Neuron	O	O	O	O
and	O	O	O	O	O	O	O	O	O	O
fast	O	O	O	O	O	O	O	O	O	O
kinetics	O	O	O	O	O	O	O	O	O	O
)	O	O	O	O	O	O	O	O	O	O
.	O	O	O	O	O	O	O	O	O	O

This	O	O	O	O	O	O	O	O	O	O
hypothesis	O	O	O	O	O	O	O	O	O	O
is	O	O	O	O	O	O	O	O	O	O
supported	O	O	O	O	O	O	O	O	O	O
by	O	O	O	O	O	O	O	O	O	O
studies	O	O	O	O	O	O	O	O	O	O
of	O	O	O	O	O	O	O	O	O	O
KO	O	O	O	O	B-ModelOrganism	O	O	O	O	O
mice	O	O	O	O	I-ModelOrganism	O	O	O	O	O
